Date,Sales,Customers
2013-01-01,97235,19491
2013-01-02,6949829,834075
2013-01-03,6347820,761040
2013-01-04,6638954,782137
2013-01-05,5951593,687472
2013-01-06,143904,26387
2013-01-07,10826848,1058495
2013-01-08,8749437,904564
2013-01-09,7746603,816709
2013-01-10,7751485,844384
2013-01-11,8039306,877397
2013-01-12,6017491,697757
2013-01-13,144052,27044
2013-01-14,5886788,734601
2013-01-15,5512591,690047
2013-01-16,5293020,660412
2013-01-17,5386564,673066
2013-01-18,6137010,740203
2013-01-19,6010192,679374
2013-01-20,151600,28040
2013-01-21,8761074,884062
2013-01-22,8320289,868642
2013-01-23,7746563,821843
2013-01-24,7439836,811738
2013-01-25,7780789,847691
2013-01-26,5848770,667571
2013-01-27,142848,27286
2013-01-28,5878702,736906
2013-01-29,5452668,670523
2013-01-30,5909779,699110
2013-01-31,7068567,802356
2013-02-01,7203007,821946
2013-02-02,6781741,746460
2013-02-03,171565,30349
2013-02-04,10333651,1018386
2013-02-05,8841604,911976
2013-02-06,8094803,868206
2013-02-07,7430076,821626
2013-02-08,7968566,867065
2013-02-09,6161019,707682
2013-02-10,172564,31698
2013-02-11,5517060,679056
2013-02-12,5563503,689894
2013-02-13,6175147,754477
2013-02-14,6422292,779567
2013-02-15,6255053,747284
2013-02-16,6162142,704367
2013-02-17,174467,31943
2013-02-18,10703641,1055106
2013-02-19,7988672,832307
2013-02-20,7759768,829354
2013-02-21,7611880,824817
2013-02-22,7840974,847496
2013-02-23,5637945,650724
2013-02-24,159057,30107
2013-02-25,5615365,711387
2013-02-26,5671238,709154
2013-02-27,6008503,722458
2013-02-28,7108972,819576
2013-03-01,7244231,839658
2013-03-02,6779350,762452
2013-03-03,195229,34977
2013-03-04,11072682,1097894
2013-03-05,8943536,944806
2013-03-06,8062941,877406
2013-03-07,7981811,877268
2013-03-08,8118153,894141
2013-03-09,6061383,695319
2013-03-10,164917,29963
2013-03-11,6194538,744922
2013-03-12,5338418,660813
2013-03-13,5830737,711036
2013-03-14,6098093,738971
2013-03-15,6783348,798499
